Sample	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7443466.sorted									0.6707328263067717						
SRR7443466_1										0.901690446148371	53.317706116815685	55.0	150.0	20.0	28024160.0
SRR7443466_2										2.319793444894215	51.4791754135634	55.0	150.0	20.0	28024160.0
SRR7443467	0.738094514608108	0.68	29129966.0	78.93063108964837	22992466	51.81765462047545	17783133	84.88							
SRR7443467.sorted									1.1766018484760012						
SRR7443467_1										1.1317406668971952	65.39237361741436	54.0	150.0	10.0	34378992.0
SRR7443467_2										2.548173896430704	63.55299854327646	54.0	150.0	10.0	34378992.0
SRR7443468	0.364477351523457	0.61	29658939.0	81.50355277375229	24173089	54.4873725348075	19160320	84.34							
SRR7443468.sorted									0.9106839046110319						
SRR7443468_1										0.9563891818799173	59.40215405250966	55.0	150.0	20.0	35216285.0
SRR7443468_2										4.181875761928513	55.822356262347924	55.0	150.0	20.0	35216285.0
SRR7443469	0.370707884755709	0.73	27654408.0	77.59624071504261	21458781	52.44833277374023	17062789	85.01							
SRR7443469.sorted									1.319361922593585						
SRR7443469_1										0.9647180291527937	62.8750465309258	56.0	150.0	20.0	32586974.0
SRR7443469_2										2.448028446376559	60.96079974922921	56.0	150.0	20.0	32586974.0
SRR7443470	0.179325716213867	0.63	24963973.0	79.57980887096777	19866282	54.0985446067604	15880974	85.04							
SRR7443470.sorted									0.9086344675166287						
SRR7443470_1										0.93921250604102	56.366090691932214	55.0	150.0	20.0	29405906.0
SRR7443470_2										2.5554487818422147	53.932234566604286	55.0	150.0	20.0	29405906.0
SRR7443471	0.243556404149122	0.57	26674474.0	80.89872737509276	21579310	56.281054050554644	17482684	85.87							
SRR7443471.sorted									0.9225413870865802						
SRR7443471_1										0.9824825004818327	60.18189056727095	56.0	150.0	20.0	31115571.0
SRR7443471_2										2.5799244586148418	58.43609026515194	56.0	150.0	20.0	31115571.0
SRR7443472	0.206814469653201	0.49	27718539.0	85.26603079621188	23634498	57.99074502750713	18534411	86.73							
SRR7443472.sorted									0.6579606157228418						
SRR7443472_1										0.9357583404545788	54.372972991356725	55.0	150.0	20.0	32006339.0
SRR7443472_2										2.3855039674067897	52.78575520372176	55.0	150.0	20.0	32006339.0
