Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7443467_1	SRR7443467_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34378992.0	0.0	150.0	54.0	34.60762638258564	150.0	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
SRR7443467_2	SRR7443467_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34378992.0	0.0	150.0	54.0	36.44700145672354	150.0	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
SRR7443468_1	SRR7443468_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35216285.0	0.0	150.0	55.0	40.59784594749034	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443468_2	SRR7443468_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35216285.0	0.0	150.0	55.0	44.177643737652076	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443469_1	SRR7443469_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32586974.0	0.0	150.0	56.0	37.1249534690742	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443469_2	SRR7443469_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32586974.0	0.0	150.0	56.0	39.03920025077079	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443470_1	SRR7443470_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29405906.0	0.0	150.0	55.0	43.633909308067786	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443470_2	SRR7443470_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29405906.0	0.0	150.0	55.0	46.067765433395714	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443471_1	SRR7443471_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31115571.0	0.0	150.0	56.0	39.81810943272905	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443471_2	SRR7443471_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31115571.0	0.0	150.0	56.0	41.56390973484806	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443472_1	SRR7443472_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32006339.0	0.0	150.0	55.0	45.627027008643275	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
SRR7443472_2	SRR7443472_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32006339.0	0.0	150.0	55.0	47.21424479627824	150.0	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
