Sample	mRNA	tRNA	lnc_RNA	snoRNA	snRNA	pre_miRNA	SRP_RNA	rRNA	ncRNA	RNase_MRP_RNA	pseudogenic_transcript
BR744	20891272.0	262.0	27691.0	2092.0	155.0	137.0	141.0	3560.0	273.0	0.0	4.0
BR745	18175226.0	207.0	42182.0	1036.0	197.0	69.0	261.0	13652.0	160.0	3.0	2.0
BR746	17028893.0	196.0	35869.0	1276.0	140.0	56.0	67.0	2538.0	166.0	0.0	6.0
BR747	15191029.0	322.0	35396.0	1951.0	123.0	69.0	87.0	3399.0	140.0	0.0	3.0
BR748	24586395.0	315.0	56967.0	1789.0	150.0	116.0	99.0	6006.0	198.0	0.0	8.0
BR749	20514060.0	340.0	55759.0	1642.0	132.0	112.0	223.0	5673.0	195.0	1.0	5.0
BR750	17310124.0	267.0	65464.0	1607.0	97.0	116.0	182.0	6751.0	160.0	3.0	1.0
BR751	16058134.0	183.0	30600.0	1239.0	84.0	183.0	93.0	7290.0	148.0	0.0	0.0
BR752	13938310.0	162.0	32494.0	971.0	117.0	85.0	1300.0	42957.0	147.0	10.0	5.0
BR753	19146067.0	219.0	25051.0	1615.0	166.0	99.0	398.0	15351.0	178.0	0.0	2.0
BR754	21156374.0	283.0	28967.0	2016.0	150.0	113.0	171.0	8839.0	138.0	0.0	2.0
BR755	17345722.0	210.0	22146.0	1516.0	106.0	111.0	96.0	2854.0	156.0	0.0	0.0
BR756	21488962.0	258.0	30747.0	1893.0	140.0	83.0	106.0	2893.0	163.0	0.0	9.0
BR757	18842680.0	195.0	15475.0	1445.0	124.0	94.0	112.0	4194.0	115.0	3.0	7.0
BR758	19200421.0	250.0	17308.0	1744.0	182.0	67.0	78.0	3208.0	169.0	0.0	1.0
BR759	17037125.0	285.0	18215.0	1619.0	172.0	54.0	171.0	2948.0	143.0	2.0	0.0
BR760	17661012.0	261.0	17023.0	1823.0	153.0	40.0	171.0	4368.0	171.0	1.0	3.0
BR761	17405316.0	285.0	23150.0	2149.0	117.0	54.0	109.0	2755.0	248.0	0.0	0.0
